Student ID,School,Gender,Class level,Parental educational level,Week1_attendance,Week2_attendance,Week3_attendance,Week4_attendance,Week5_attendance,Week6_attendance,Week7_attendance,Week8_attendance,Week9_attendance,Week10_attendance,Week11_attendance,Week12_attendance,Week13_attendance,Week14_attendance,Semester 1 average,Semester 2 average,Semester difference,Household income level,Family dropout history,Child labor involvement,Travel time to school,Mode of transport,Teacher relationship quality,Peer relationship quality,Extra-curricular activities,Section,Household income level (standardized),Travel time to school (minutes),grade_number,stream_letter,subgroup,level_prefix,long_commute_flag,long_walk_flag,attendance_rate,low_attendance_weeks,academic_domain,attendance_domain,income_score,family_dropout_penalty,child_labor_penalty,socioeconomic_domain,teacher_rel_score,peer_rel_score,has_extracurricular,engagement_domain,accessibility_domain,cluster,dropout_risk
11,Weweso MA,Male,4B,JHS,1.0,0.4,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.25,1.0,52.32,5.63,-46.69,1,No,No,30 Minutes,Private transport,Good,Good,Arts & Performance,,Low,30,4,B,,,0,0,0.8142857142857143,3,23.18,81.42857142857143,0,0.0,0.0,0.0,100,100,100,100.0,90.0,0,Medium
12,Ayeduase RC,Male,4,SHS,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.8,1.0,1.0,70.05,5.14,-64.91,2,No,No,3 minutes,Private transport,Poor,Good,,,Average,3,4,,,,0,0,0.8071428571428572,2,30.076,80.71428571428572,50,0.0,0.0,50.0,0,100,0,40.0,99.0,1,High
13,Shining Star Preparatory,Female,5B,Tertiary,0.75,0.8,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,51.64,6.84,-44.8,2,No,Yes,35 minutes,Walking,Good,Poor,Arts & Performance,Kofi Annan,Average,35,5,B,,,0,0,0.8821428571428571,1,23.392000000000003,88.21428571428571,50,0.0,-30.0,20.0,100,0,100,60.0,88.33333333333333,0,Medium
14,Shining Star Preparatory,Male,5A,JHS,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,51.75,70.86,19.11,3,Yes,No,5 minutes,Walking,Good,Average,Sports,Kofi Annan,High,5,5,A,,,0,0,0.9428571428571428,1,52.86600000000001,94.28571428571428,100,-30.0,0.0,70.0,100,50,100,80.0,98.33333333333333,2,Low
15,Ayeduase RC,Male,JHS 1,Tertiary,0.0,0.25,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,51.99,7.23,-44.76000000000001,2,Not sure,No,1hr,Walking,Good,Good,Sports,,Average,60,7,,,JHS,0,0,0.775,4,23.688000000000002,77.5,50,,0.0,44.26929392446634,100,100,100,100.0,80.0,0,Medium
16,Ayeduase RC,Male,6A,SHS,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,53.38,5.01,-48.37,3,No,Sometimes,20 minutes,Walking,Poor,Good,Arts & Performance,,High,20,6,A,,,0,0,0.9357142857142858,0,23.356000000000005,93.57142857142858,100,0.0,,44.26929392446634,0,100,100,60.0,93.33333333333333,0,Medium
17,Shining Star Preparatory,Male,JHS 1,JHS,0.6,1.0,0.25,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.92,86.31,35.39,2,Not sure,Sometimes,50min,Walking,Good,Good,Arts & Performance,Kofi Annan,Average,50,7,,,JHS,0,0,0.7892857142857144,3,61.970000000000006,78.92857142857143,50,,,44.26929392446634,100,100,100,100.0,83.33333333333333,2,Low
18,Ayeduase RC,Female,5B,Tertiary,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.74,48.86813203094898,-2.871867969051024,1,Not sure,No,40 minutes,Private transport,Good,Good,Academic/Clubs,,Low,40,5,B,,,0,0,0.9285714285714286,1,40.243252812379595,92.85714285714286,0,,0.0,44.26929392446634,100,100,100,100.0,86.66666666666667,0,Medium
19,Shining Star Preparatory,Male,JHS 1,SHS,1.0,1.0,0.4,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,52.74,57.51,4.769999999999996,2,No,Yes,60 minutes,Walking,Good,Poor,Arts & Performance,Kofi Annan,Average,60,7,,,JHS,0,0,0.8857142857142858,2,45.05400000000001,88.57142857142858,50,0.0,-30.0,20.0,100,0,100,60.0,80.0,1,High
20,Shining Star Preparatory,Male,4,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,57.21,7.41,-49.8,2,No,No,1 hour,Public transport,Good,Poor,Academic/Clubs,Kofi Annan,Average,60,4,,,,0,0,0.9285714285714286,1,25.848,92.85714285714286,50,0.0,0.0,50.0,100,0,100,60.0,80.0,0,Medium
21,Shining Star Preparatory,Male,6B,JHS,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,66.99,6.06,-60.92999999999999,2,Not sure,No,3 minutes,Public transport,Good,Good,Sports,Kofi Annan,Average,3,6,B,,,0,0,0.9571428571428571,0,29.22,95.71428571428571,50,,0.0,44.26929392446634,100,100,100,100.0,99.0,0,Medium
22,Weweso MA,Female,5A,SHS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8,0.75,1.0,1.0,53.18,52.55103026995661,-0.6289697300433872,2,Not sure,Yes,30 minutes,Public transport,Average,Good,Sports,,Average,30,5,A,,,0,0,0.8964285714285715,1,42.29241210798265,89.64285714285715,50,,-30.0,44.26929392446634,50,100,100,80.0,90.0,2,Low
23,Ayeduase RC,Male,6A,JHS,1.0,0.8,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.8,1.0,0.75,51.53,91.95,40.42,3,No,Yes,50min,Walking,Good,Poor,Arts & Performance,,High,50,6,A,,,0,0,0.9000000000000001,0,65.476,90.00000000000001,100,0.0,-30.0,70.0,100,0,100,60.0,83.33333333333333,2,Low
24,Weweso MA,Female,6B,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.29,4.73,-48.56,2,Yes,No,1 hour,Public transport,Average,Good,Arts & Performance,,Average,60,6,B,,,0,0,1.0,0,23.208000000000002,100.0,50,-30.0,0.0,20.0,50,100,100,80.0,80.0,0,Medium
25,Shining Star Preparatory,Male,5B2,Tertiary,0.5,0.25,0.4,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,52.01,7.23,-44.78,3,Not sure,Yes,1 Hour,Walking,Good,Average,Arts & Performance,Kofi Annan,High,60,5,B,2.0,,0,0,0.7392857142857142,4,23.696,73.92857142857142,100,,-30.0,44.26929392446634,100,50,100,80.0,80.0,1,High
26,Weweso MA,Female,JHS 1,Tertiary,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,51.18,69.74,18.56,3,No,Yes,36 minutes,Public transport,Good,Poor,Arts & Performance,,High,36,7,,,JHS,0,0,0.9,1,52.08,90.0,100,0.0,-30.0,70.0,100,0,100,60.0,88.0,2,Low
27,Weweso MA,Male,JHS 1B1,SHS,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.62,7.52,-49.09999999999999,3,Not sure,Sometimes,30mins,Public transport,Average,Good,Arts & Performance,,High,30,7,B,1.0,JHS,0,0,0.9571428571428572,1,25.656,95.71428571428572,100,,,44.26929392446634,50,100,100,80.0,90.0,0,Medium
28,Shining Star Preparatory,Male,7B3,Tertiary,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,8.79,-44.21,2,No,Yes,30 minutes,Private transport,Good,Good,Arts & Performance,Kofi Annan,Average,30,7,B,3.0,,0,0,0.9714285714285714,0,24.716,97.14285714285714,50,0.0,-30.0,20.0,100,100,100,100.0,90.0,0,Medium
29,Shining Star Preparatory,Male,5A,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,52.75,78.62,25.87,3,Not sure,Yes,30 minutes,Private transport,Good,Good,Arts & Performance,Kofi Annan,High,30,5,A,,,0,0,0.9821428571428571,0,57.722,98.21428571428571,100,,-30.0,44.26929392446634,100,100,100,100.0,90.0,2,Low
30,Weweso MA,Female,6A,SHS,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,59.32,5.47,-53.85,3,No,No,15 minutes,Public transport,Good,Good,Academic/Clubs,,High,15,6,A,,,0,0,0.8285714285714285,2,25.916,82.85714285714285,100,0.0,0.0,100.0,100,100,100,100.0,95.0,0,Medium
31,Shining Star Preparatory,Female,5A,JHS,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,51.58,8.36,-43.22,3,No,No,50min,Public transport,Average,Average,Arts & Performance,Kofi Annan,High,50,5,A,,,0,0,0.8214285714285714,2,23.976000000000003,82.14285714285714,100,0.0,0.0,100.0,50,50,100,60.0,83.33333333333333,1,High
32,Shining Star Preparatory,Female,6A,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.57,6.83,-44.74,3,No,No,1 hour,Public transport,Good,Good,Arts & Performance,Kofi Annan,High,60,6,A,,,0,0,1.0,0,23.36,100.0,100,0.0,0.0,100.0,100,100,100,100.0,80.0,0,Medium
33,Ayeduase RC,Female,6B,JHS,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.4,0.6,1.0,1.0,1.0,1.0,1.0,53.43,3.23,-50.2,1,No,Yes,2 minutes,Walking,Good,Good,Sports,,Low,2,6,B,,,0,0,0.8714285714285713,2,22.664,87.14285714285714,0,0.0,-30.0,0.0,100,100,100,100.0,99.33333333333333,0,Medium
34,Weweso MA,Male,6B,JHS,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.37,52.16,-4.210000000000001,2,No,No,5 minutes,Private transport,Good,Good,Arts & Performance,,Average,5,6,B,,,0,0,0.9857142857142858,0,43.412000000000006,98.57142857142858,50,0.0,0.0,50.0,100,100,100,100.0,98.33333333333333,2,Low
35,Weweso MA,Female,6A,SHS,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.2,1.0,55.98,5.19,-50.79,3,No,Yes,25 minutes,Walking,Average,Good,Passive screen time,,High,25,6,A,,,0,0,0.8571428571428571,2,24.468,85.71428571428571,100,0.0,-30.0,70.0,50,100,100,80.0,91.66666666666667,0,Medium
36,Weweso MA,Male,JHS 1,SHS,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.8,1.0,0.8,1.0,1.0,0.25,1.0,67.72,7.24,-60.48,1,Yes,No,6 minutes,Public transport,Good,Good,Arts & Performance,,Low,6,7,,,JHS,0,0,0.8607142857142858,2,29.984,86.07142857142858,0,-30.0,0.0,0.0,100,100,100,100.0,98.0,0,Medium
37,Shining Star Preparatory,Female,4A,Tertiary,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,74.97,85.48,10.51000000000001,3,Not sure,Sometimes,30 minutes,Public transport,Average,Good,Sports,Kofi Annan,High,30,4,A,,,0,0,0.9285714285714286,1,66.28200000000001,92.85714285714286,100,,,44.26929392446634,50,100,100,80.0,90.0,2,Low
38,Weweso MA,Male,5B,Tertiary,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,53.2,3.64,-49.56,1,No,Sometimes,80min,Walking,Good,Good,Passive screen time,,Low,80,5,B,,,0,0,0.9214285714285715,1,22.736,92.14285714285715,0,0.0,,44.26929392446634,100,100,100,100.0,80.0,0,Medium
39,Ayeduase RC,Male,7B2,SHS,1.0,1.0,0.2,1.0,0.2,1.0,1.0,0.6,0.0,1.0,0.8,1.0,0.25,0.0,47.93,76.54,28.61000000000001,1,Yes,Yes,20 minutes,Public transport,Poor,Good,Sports,,Low,20,7,B,2.0,,0,0,0.6464285714285715,5,55.510000000000005,64.64285714285715,0,-30.0,-30.0,0.0,0,100,100,60.0,93.33333333333333,1,High
40,Shining Star Preparatory,Male,6B2,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.9,82.35,34.45,3,Not sure,Sometimes,2 minutes,Private transport,Good,Good,Arts & Performance,Kofi Annan,High,2,6,B,2.0,,0,0,1.0,0,58.989999999999995,100.0,100,,,44.26929392446634,100,100,100,100.0,99.33333333333333,2,Low
41,Ayeduase RC,Female,JHS 1,Tertiary,0.8,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.8,1.0,0.0,1.0,1.0,0.0,51.83,72.81,20.98,2,No,No,1 hour,Private transport,Average,Average,Arts & Performance,,Average,60,7,,,JHS,0,0,0.7714285714285715,3,54.052,77.14285714285715,50,0.0,0.0,50.0,50,50,100,60.0,80.0,1,High
42,Weweso MA,Female,4,JHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.4,1.0,51.82,4.65,-47.17,2,No,Yes,10min,Public transport,Good,Good,Passive screen time,,Average,10,4,,,,0,0,0.9035714285714286,2,22.588,90.35714285714286,50,0.0,-30.0,20.0,100,100,100,100.0,96.66666666666667,0,Medium
43,Shining Star Preparatory,Female,4,Tertiary,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.97,5.31,-82.66,2,No,No,55 minutes,Public transport,Poor,Good,Arts & Performance,Kofi Annan,Average,55,4,,,,0,0,0.8857142857142858,2,37.312000000000005,88.57142857142858,50,0.0,0.0,50.0,0,100,100,60.0,81.66666666666667,1,High
44,Shining Star Preparatory,Male,6A,Tertiary,1.0,0.25,0.0,0.0,0.25,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,1.0,67.19,2.15,-65.03999999999999,2,No,No,7 minutes,Walking,Average,Good,Academic/Clubs,Kofi Annan,Average,7,6,A,,,0,0,0.7214285714285714,4,27.736,72.14285714285714,50,0.0,0.0,50.0,50,100,100,80.0,97.66666666666667,1,High
45,Shining Star Preparatory,Male,7B3,Tertiary,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,43.88,7.71,-36.17,2,No,Sometimes,120 minutes,Public transport,Good,Good,,Kofi Annan,Average,120,7,B,3.0,,0,0,0.8928571428571429,1,20.636000000000003,89.28571428571429,50,0.0,,44.26929392446634,100,100,0,80.0,80.0,0,Medium
46,Weweso MA,Male,6B,Tertiary,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.4,6.2,-47.2,3,Yes,No,30 minutes,Public transport,Good,Average,Sports,,High,30,6,B,,,0,0,0.9285714285714286,1,23.84,92.85714285714286,100,-30.0,0.0,70.0,100,50,100,80.0,90.0,0,Medium
47,Shining Star Preparatory,Male,4,Tertiary,0.25,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,56.5,0.0,-56.5,3,Not sure,No,30 minutes,Walking,Good,Good,Arts & Performance,Kwame Nkrumah,High,30,4,,,,0,0,0.9178571428571429,1,22.6,91.78571428571429,100,,0.0,44.26929392446634,100,100,100,100.0,90.0,0,Medium
48,Shining Star Preparatory,Male,6B,Tertiary,0.6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,51.87,83.05,31.18,2,No,No,40 minutes,Public transport,Good,Good,Arts & Performance,Kofi Annan,Average,40,6,B,,,0,0,0.8285714285714285,2,60.20400000000001,82.85714285714285,50,0.0,0.0,50.0,100,100,100,100.0,86.66666666666667,2,Low
49,Shining Star Preparatory,Female,5A,SHS,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,51.8,5.36,-46.44,3,No,No,1hr,Walking,Good,Poor,Chores/Duties,Kofi Annan,High,60,5,A,,,0,0,0.9321428571428572,0,22.863999999999997,93.21428571428572,100,0.0,0.0,100.0,100,0,100,60.0,80.0,0,Medium
50,Shining Star Preparatory,Female,5B,Tertiary,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,23.09,85.61,62.52,2,Yes,Sometimes,30min,Private transport,Poor,Poor,Academic/Clubs,Kofi Annan,Average,30,5,B,,,0,0,0.7321428571428571,4,55.98400000000001,73.21428571428571,50,-30.0,,44.26929392446634,0,0,100,20.0,90.0,1,High
51,Shining Star Preparatory,Female,6,SHS,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,42.18,0.0,-42.18,3,No,No,1 hour,Walking,Average,Poor,Sports,Kwame Nkrumah,High,60,6,,,,0,0,0.9714285714285715,0,16.872,97.14285714285715,100,0.0,0.0,100.0,50,0,100,40.0,80.0,0,Medium
52,Shining Star Preparatory,Female,6B,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.23,53.73,0.5,2,No,No,30 minutes,Public transport,Poor,Good,Arts & Performance,Kofi Annan,Average,30,6,B,,,0,0,1.0,0,42.88400000000001,100.0,50,0.0,0.0,50.0,0,100,100,60.0,90.0,2,Low
53,Weweso MA,Female,JHS 2,SHS,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,60.29,53.97,-6.32,2,No,Yes,87 minutes,Public transport,Good,Average,Academic/Clubs,,Average,87,8,,,JHS,0,0,0.8464285714285714,3,45.704,84.64285714285714,50,0.0,-30.0,20.0,100,50,100,80.0,80.0,2,Low
54,Weweso MA,Female,7B3,Tertiary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,52.68,60.73,8.049999999999997,3,No,Yes,20 Minutes,Walking,Average,Good,Arts & Performance,,High,20,7,B,3.0,,0,0,0.9071428571428571,1,46.974000000000004,90.71428571428571,100,0.0,-30.0,70.0,50,100,100,80.0,93.33333333333333,2,Low
55,Shining Star Preparatory,Female,4A,Tertiary,0.8,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.75,1.0,52.91,69.3,16.39,3,Yes,Yes,3 minutes,Public transport,Good,Poor,Sports,Kofi Annan,High,3,4,A,,,0,0,0.8964285714285715,1,52.162,89.64285714285715,100,-30.0,-30.0,40.0,100,0,100,60.0,99.0,2,Low
56,Shining Star Preparatory,Male,JHS 2,Tertiary,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.38,90.55,34.16999999999999,3,No,No,10 minutes,Walking,Good,Poor,Arts & Performance,Kofi Annan,High,10,8,,,JHS,0,0,0.9642857142857143,0,65.60600000000001,96.42857142857143,100,0.0,0.0,100.0,100,0,100,60.0,96.66666666666667,2,Low
57,Shining Star Preparatory,Male,JHS 1,Tertiary,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,52.9,84.46,31.56,2,Yes,No,30 minutes,Public transport,Good,Good,Arts & Performance,Kofi Annan,Average,30,7,,,JHS,0,0,0.9428571428571428,1,61.256,94.28571428571428,50,-30.0,0.0,20.0,100,100,100,100.0,90.0,2,Low
58,Weweso MA,Female,JHS 2,JHS,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,52.31,97.61,45.3,3,No,No,30 minutes,Private transport,Good,Good,Arts & Performance,,High,30,8,,,JHS,0,0,0.9249999999999999,1,69.028,92.5,100,0.0,0.0,100.0,100,100,100,100.0,90.0,2,Low
59,Ayeduase RC,Female,7B3,SHS,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,0.75,51.15,5.95,-45.2,3,No,No,30 minutes,Walking,Poor,Poor,Arts & Performance,,High,30,7,B,3.0,,0,0,0.8321428571428572,3,22.84,83.21428571428572,100,0.0,0.0,100.0,0,0,100,20.0,90.0,1,High
60,Weweso MA,Female,5A,JHS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,1.0,1.0,1.0,0.8,0.6,57.61,58.2,0.5900000000000034,2,No,No,60 minutes,Walking,Poor,Average,Academic/Clubs,,Average,60,5,A,,,0,0,0.8678571428571429,1,46.442,86.78571428571429,50,0.0,0.0,50.0,0,50,100,40.0,80.0,1,High
61,Shining Star Preparatory,Female,4A,SHS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,70.59,85.52,14.92999999999999,1,Not sure,Yes,20 Minutes,Walking,Poor,Good,Academic/Clubs,Kofi Annan,Low,20,4,A,,,0,0,0.9714285714285714,0,65.43,97.14285714285714,0,,-30.0,44.26929392446634,0,100,100,60.0,93.33333333333333,2,Low
62,Weweso MA,Male,JHS 1,Tertiary,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.75,0.0,20.78,64.0,43.22,2,No,Yes,25 minutes,Public transport,Good,Average,Arts & Performance,,Average,25,7,,,JHS,0,0,0.8107142857142857,2,42.556000000000004,81.07142857142857,50,0.0,-30.0,20.0,100,50,100,80.0,91.66666666666667,1,High
63,Weweso MA,Male,7B3,SHS,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.8,1.0,52.76,77.64,24.88,3,No,Yes,5 minutes,Public transport,Average,Good,Passive screen time,,High,5,7,B,3.0,,0,0,0.9500000000000001,0,57.135999999999996,95.0,100,0.0,-30.0,70.0,50,100,100,80.0,98.33333333333333,2,Low
64,Ayeduase RC,Female,JHS 1,SHS,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,40.17,6.55,-33.62,1,Yes,No,10 minutes,Private transport,Good,Good,Arts & Performance,,Low,10,7,,,JHS,0,0,0.9249999999999999,1,18.688000000000002,92.5,0,-30.0,0.0,0.0,100,100,100,100.0,96.66666666666667,0,Medium
